"행정구역(시군구)별","항목","단위","2000.01 월","2000.02 월","2000.03 월","2000.04 월","2000.05 월","2000.06 월","2000.07 월","2000.08 월","2000.09 월","2000.10 월","2000.11 월","2000.12 월","2001.01 월","2001.02 월","2001.03 월","2001.04 월","2001.05 월","2001.06 월","2001.07 월","2001.08 월","2001.09 월","2001.10 월","2001.11 월","2001.12 월","2002.01 월","2002.02 월","2002.03 월","2002.04 월","2002.05 월","2002.06 월","2002.07 월","2002.08 월","2002.09 월","2002.10 월","2002.11 월","2002.12 월","2003.01 월","2003.02 월","2003.03 월","2003.04 월","2003.05 월","2003.06 월","2003.07 월","2003.08 월","2003.09 월","2003.10 월","2003.11 월","2003.12 월","2004.01 월","2004.02 월","2004.03 월","2004.04 월","2004.05 월","2004.06 월","2004.07 월","2004.08 월","2004.09 월","2004.10 월","2004.11 월","2004.12 월","2005.01 월","2005.02 월","2005.03 월","2005.04 월","2005.05 월","2005.06 월","2005.07 월","2005.08 월","2005.09 월","2005.10 월","2005.11 월","2005.12 월","2006.01 월","2006.02 월","2006.03 월","2006.04 월","2006.05 월","2006.06 월","2006.07 월","2006.08 월","2006.09 월","2006.10 월","2006.11 월","2006.12 월","2007.01 월","2007.02 월","2007.03 월","2007.04 월","2007.05 월","2007.06 월","2007.07 월","2007.08 월","2007.09 월","2007.10 월","2007.11 월","2007.12 월","2008.01 월","2008.02 월","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월","2009.11 월","2009.12 월","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월",
"전국","총전입[명]","명","644021","855702","927946","786132","827626","722504","594744","675735","639959","827985","799595","707492","567295","849901","924516","827985","799426","756094","660128","737577","720153","786230","818508","842136","771528","846266","962179","926440","875948","664431","656026","716545","693391","884385","831966","755356","670655","874247","881150","825703","822174","797055","715792","730735","690600","870288","781768","856438","658070","892854","907340","709983","675565","658075","594388","690342","579672","687721","724350","789435","661039","767304","871252","759958","747547","692569","601199","756471","689169","720869","748464","779556","680685","941854","955211","752611","761311","747841","603773","713278","692121","748367","838983","906039","870481","899570","836839","741193","735973","630810","627353","719574","591931","857977","774668","783733","780030","899237","845111","785865","741984","703925","691177","673647","642956","717175","626139","701010","582164","847598","841214","705290","669378","685789","671305","683893","670762","708767","678715","742400","631545","783081","882541","709932","663632","648218","602993","655501","552496","670594","698948","727113","640249","786551","824688","673541","672248","630295","575022","704132","593848","653713","666142","706766","582501","819205","717005","630685","624944","542041","559846","584403","505118","643977","649081","647885","609016","721190","662370","629241","613463","586000","584697","558255","485965","637567","623006","701014","580370","757702","708559","651825","612796","586855","599827","582734","566855","669986","613783","697806","615130","663366","771122","649452","605725","650399","627098","618777","550423","653444","650197","700153","595130","709413","686126","564228","589428","567068","544890","641882","545720","616356","645286","672903","577151","748848","673351","532108","578011","541077","543286","628151","590892","528635","597466","615250","662283","697706","707829","593767","599570","543797","568604","592108","462112","637160","614814","617349","667227","702329","641449","587293","569020","484468","563622","565607","517785","594081","565735","645782","647272","780471","766192","614262","568965","606947","582941","614735","621468","604412","610204","717622","633309","705794","735225","593387","556711","543949","562851","590261","566346","539936","566662","618991","552315","664152","587154","482543","522938","477376",
"전국","총전출[명]","명","644021","855702","927946","786132","827626","722504","594744","675735","639959","827985","799595","707492","567295","849901","924516","827985","799426","756094","660128","737577","720153","786230","818508","842136","771528","846266","962179","926440","875948","664431","656026","716545","693391","884385","831966","755356","670655","874247","881150","825703","822174","797055","715792","730735","690600","870288","781768","856438","658070","892854","907340","709983","675565","658075","594388","690342","579672","687721","724350","789435","661039","767304","871252","759958","747547","692569","601199","756471","689169","720869","748464","779556","680685","941854","955211","752611","761311","747841","603773","713278","692121","748367","838983","906039","870481","899570","836839","741193","735973","630810","627353","719574","591931","857977","774668","783733","780030","899237","845111","785865","741984","703925","691177","673647","642956","717175","626139","701010","582164","847598","841214","705290","669378","685789","671305","683893","670762","708767","678715","742400","631545","783081","882541","709932","663632","648218","602993","655501","552496","670594","698948","727113","640249","786551","824688","673541","672248","630295","575022","704132","593848","653713","666142","706766","582501","819205","717005","630685","624944","542041","559846","584403","505118","643977","649081","647885","609016","721190","662370","629241","613463","586000","584697","558255","485965","637567","623006","701014","580370","757702","708559","651825","612796","586855","599827","582734","566855","669986","613783","697806","615130","663366","771122","649452","605725","650399","627098","618777","550423","653444","650197","700153","595130","709413","686126","564228","589428","567068","544890","641882","545720","616356","645286","672903","577151","748848","673351","532108","578011","541077","543286","628151","590892","528635","597466","615250","662283","697706","707829","593767","599570","543797","568604","592108","462112","637160","614814","617349","667227","702329","641449","587293","569020","484468","563622","565607","517785","594081","565735","645782","647272","780471","766192","614262","568965","606947","582941","614735","621468","604412","610204","717622","633309","705794","735225","593387","556711","543949","562851","590261","566346","539936","566662","618991","552315","664152","587154","482543","522938","477376",
"전국","순이동[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","시도간전입[명]","명","215385","295868","297431","240039","254151","228106","191495","220217","196619","247079","234471","224970","194748","297207","291662","247631","239843","236663","211877","241192","216194","237706","240513","276781","267942","281576","298779","273569","260802","195866","206777","237777","216052","264920","243822","246933","228416","305914","283958","248880","243454","238566","224836","234660","215562","259424","228616","295495","235128","310462","293169","222030","212320","208525","193284","229838","184554","213151","220970","270308","224649","263935","282221","235080","226407","215481","193662","247480","218785","218294","223322","265963","230545","317870","300431","227174","232831","226010","191768","238132","211694","224900","248734","296580","287857","301957","272150","234691","229992","200727","203544","240575","186822","268114","233555","262019","259125","300796","274324","240511","225929","213491","215590","218498","206462","216894","185770","234761","204166","294485","276258","214645","209944","216378","212562","226370","211331","217145","202179","243509","219023","277634","295537","224257","206954","201538","192580","221858","179171","205055","207535","231151","215742","273653","267680","207688","205372","196834","183175","231569","192549","201099","201996","227156","209901","299584","247315","201743","198624","175699","183333","201041","164309","207205","206323","217663","218841","266770","228785","199874","189601","176371","184219","186982","158302","197414","188525","227745","202980","275797","242713","207436","192849","181092","190091","189152","187024","210038","189437","239187","225641","246724","263921","205134","185119","201096","199088","204607","176300","206760","200371","236663","213247","265552","241386","185213","185791","183999","176965","213655","175104","191518","195450","225462","208389","280323","241021","177949","189641","178806","177679","210010","186067","163718","187381","209946","237398","253695","243880","194269","189499","174285","187698","201619","150906","198149","189694","208092","238826","261381","222344","189949","183192","156488","186208","189509","171021","184330","178556","223144","231962","275885","260220","187395","182973","198372","188806","199936","190091","184009","191698","242767","223695","250744","256965","193322","178931","179807","191169","202263","202465","175161","182410","210302","197420","256975","221881","165962","176825","162263",
"전국","시도간전출[명]","명","215385","295868","297431","240039","254151","228106","191495","220217","196619","247079","234471","224970","194748","297207","291662","247631","239843","236663","211877","241192","216194","237706","240513","276781","267942","281576","298779","273569","260802","195866","206777","237777","216052","264920","243822","246933","228416","305914","283958","248880","243454","238566","224836","234660","215562","259424","228616","295495","235128","310462","293169","222030","212320","208525","193284","229838","184554","213151","220970","270308","224649","263935","282221","235080","226407","215481","193662","247480","218785","218294","223322","265963","230545","317870","300431","227174","232831","226010","191768","238132","211694","224900","248734","296580","287857","301957","272150","234691","229992","200727","203544","240575","186822","268114","233555","262019","259125","300796","274324","240511","225929","213491","215590","218498","206462","216894","185770","234761","204166","294485","276258","214645","209944","216378","212562","226370","211331","217145","202179","243509","219023","277634","295537","224257","206954","201538","192580","221858","179171","205055","207535","231151","215742","273653","267680","207688","205372","196834","183175","231569","192549","201099","201996","227156","209901","299584","247315","201743","198624","175699","183333","201041","164309","207205","206323","217663","218841","266770","228785","199874","189601","176371","184219","186982","158302","197414","188525","227745","202980","275797","242713","207436","192849","181092","190091","189152","187024","210038","189437","239187","225641","246724","263921","205134","185119","201096","199088","204607","176300","206760","200371","236663","213247","265552","241386","185213","185791","183999","176965","213655","175104","191518","195450","225462","208389","280323","241021","177949","189641","178806","177679","210010","186067","163718","187381","209946","237398","253695","243880","194269","189499","174285","187698","201619","150906","198149","189694","208092","238826","261381","222344","189949","183192","156488","186208","189509","171021","184330","178556","223144","231962","275885","260220","187395","182973","198372","188806","199936","190091","184009","191698","242767","223695","250744","256965","193322","178931","179807","191169","202263","202465","175161","182410","210302","197420","256975","221881","165962","176825","162263",
"서울특별시","총전입[명]","명","136239","196167","231933","205487","209053","174700","151431","173899","167077","206559","200681","166181","120896","196648","232782","211720","200913","192603","177468","187375","181653","200978","200206","192542","170308","198509","238601","231896","214858","164665","162241","175745","175541","214217","204043","167427","139391","192362","213244","200954","197717","190757","176218","178206","170216","209109","193007","181542","137044","196922","216453","172707","164610","155623","134677","155642","128116","155164","152972","156305","129452","160365","194805","180653","176918","161699","142256","178385","163207","171058","169117","162834","138523","204573","221272","177245","184697","172585","143466","169072","161829","183434","200678","216533","198718","202764","195867","180422","177739","144758","141113","163741","134736","200133","173197","164857","159479","193293","192051","188578","185086","169842","165423","159850","151528","174800","141163","144265","121521","184736","191695","161899","153001","155661","150837","156384","152937","159980","141442","143095","121063","159643","190443","156519","145051","135487","128872","141136","120210","146446","144395","143750","124125","166687","182847","148582","149942","130326","123680","155031","128148","144601","136035","131744","111997","168586","153149","135660","133247","112473","115200","119234","105895","139686","134791","125363","118477","150805","138507","134581","130619","115773","118420","119171","103009","133368","119741","137619","111094","155429","148117","136230","129645","122547","128364","124922","117715","142279","124299","132953","116958","134168","160393","137743","132359","135400","130033","128717","112803","135505","132012","133340","113095","145256","140880","117029","123743","119398","110156","132319","117840","133610","130166","132110","114655","161130","143477","112932","124132","115236","113098","132940","120252","109323","114057","111705","119120","135440","144160","117443","117278","109139","112580","117300","92262","132111","125350","117524","128937","146401","135592","118129","110881","91828","111288","110592","103969","128067","113012","127797","131105","170587","164402","127208","117734","122292","115625","123804","127908","126788","117563","133111","114415","141936","151617","117475","112967","104704","111646","125161","110490","107123","108106","112547","100675","142156","122917","95228","104657","91205",
"서울특별시","총전출[명]","명","135267","190149","237393","207976","212656","181783","152659","174256","169657","217304","213950","173296","120488","191777","241052","224551","216686","207742","181959","197586","194295","213650","211921","208026","164737","198924","249993","246065","231609","175823","169589","184189","189151","228905","213806","171681","137834","187734","217783","208301","205279","198433","179964","183907","177020","217286","200721","197429","129615","191146","220894","175804","169387","159599","139401","158843","133183","161809","164476","169282","128063","157308","198710","186144","183726","169102","145441","182813","167230","176642","176131","170446","136209","197063","223734","181640","188794","177185","145171","170139","164437","190704","209112","226270","197061","200157","199503","186561","184204","150830","144519","166986","139501","207902","181195","172509","157137","191049","197108","195556","193623","179485","172767","165306","156744","179447","146542","148588","118091","177073","194061","166009","155342","157737","154211","160959","160673","169572","154968","156756","125187","164964","202749","168186","156874","144543","136818","148726","128763","156914","158592","155722","128449","170284","193708","158638","160262","140667","132400","164866","138099","154442","148919","144072","115378","171439","162181","144355","141626","120307","123953","128460","114085","151035","145921","140188","123006","155528","146220","144586","138830","124523","127308","126101","109528","142141","131098","151771","115366","158261","154260","144686","137232","130942","135883","130585","123841","151401","133467","145501","120013","138304","169767","148860","144035","149778","141756","141628","125689","150502","145622","150733","119949","153467","149700","127687","135701","131462","123001","146990","128750","146868","144748","147536","117173","162678","148176","119307","130722","121281","121341","141931","133583","120064","128744","126423","126275","142674","152138","127510","128576","117661","121981","126268","100223","142818","136685","127128","129031","143367","137242","122867","117209","97933","118365","118002","109435","133127","117720","131783","127159","167282","167806","134325","120443","126224","121544","131848","137952","137100","127049","144245","124855","151351","157833","127213","121276","112992","120075","133278","118609","116512","118660","121776","103083","138891","123192","99394","107739","93015",
"서울특별시","순이동[명]","명","972","6018","-5460","-2489","-3603","-7083","-1228","-357","-2580","-10745","-13269","-7115","408","4871","-8270","-12831","-15773","-15139","-4491","-10211","-12642","-12672","-11715","-15484","5571","-415","-11392","-14169","-16751","-11158","-7348","-8444","-13610","-14688","-9763","-4254","1557","4628","-4539","-7347","-7562","-7676","-3746","-5701","-6804","-8177","-7714","-15887","7429","5776","-4441","-3097","-4777","-3976","-4724","-3201","-5067","-6645","-11504","-12977","1389","3057","-3905","-5491","-6808","-7403","-3185","-4428","-4023","-5584","-7014","-7612","2314","7510","-2462","-4395","-4097","-4600","-1705","-1067","-2608","-7270","-8434","-9737","1657","2607","-3636","-6139","-6465","-6072","-3406","-3245","-4765","-7769","-7998","-7652","2342","2244","-5057","-6978","-8537","-9643","-7344","-5456","-5216","-4647","-5379","-4323","3430","7663","-2366","-4110","-2341","-2076","-3374","-4575","-7736","-9592","-13526","-13661","-4124","-5321","-12306","-11667","-11823","-9056","-7946","-7590","-8553","-10468","-14197","-11972","-4324","-3597","-10861","-10056","-10320","-10341","-8720","-9835","-9951","-9841","-12884","-12328","-3381","-2853","-9032","-8695","-8379","-7834","-8753","-9226","-8190","-11349","-11130","-14825","-4529","-4723","-7713","-10005","-8211","-8750","-8888","-6930","-6519","-8773","-11357","-14152","-4272","-2832","-6143","-8456","-7587","-8395","-7519","-5663","-6126","-9122","-9168","-12548","-3055","-4136","-9374","-11117","-11676","-14378","-11723","-12911","-12886","-14997","-13610","-17393","-6854","-8211","-8820","-10658","-11958","-12064","-12845","-14671","-10910","-13258","-14582","-15426","-2518","-1548","-4699","-6375","-6590","-6045","-8243","-8991","-13331","-10741","-14687","-14718","-7155","-7234","-7978","-10067","-11298","-8522","-9401","-8968","-7961","-10707","-11335","-9604","-94","3034","-1650","-4738","-6328","-6105","-7077","-7410","-5466","-5060","-4708","-3986","3946","3305","-3404","-7117","-2709","-3932","-5919","-8044","-10044","-10312","-9486","-11134","-10440","-9415","-6216","-9738","-8309","-8288","-8429","-8117","-8119","-9389","-10554","-9229","-2408","3265","-275","-4166","-3082","-1810",
"서울특별시","시도간전입[명]","명","47202","68712","66635","56205","59066","48291","43925","50353","45000","53944","50152","47493","41860","68220","64662","53477","51263","49413","49214","52833","46772","52540","52370","55084","60653","64793","64326","58309","53547","41349","44882","51475","46052","55877","53182","50959","48344","66740","60687","53386","53059","49830","49227","49851","45695","54719","48490","53002","51361","68610","62789","49146","45137","44178","39673","47917","37922","43543","41875","48736","46108","57363","59181","50665","47477","44070","41780","53534","47887","47010","46749","51212","49428","72009","66826","49587","52317","49709","43593","53697","48268","50093","54992","62280","64953","67957","59270","51047","50214","42342","44182","51658","40121","57179","48418","52100","55292","65078","58004","52107","49329","45102","46995","47815","44709","48130","39325","47259","44657","66440","60434","46741","46719","48084","46607","49211","45583","45964","39766","46127","44040","57197","59284","45303","41672","40310","39412","45077","35874","41350","39799","43989","42897","56074","52957","40435","40632","36833","35733","45945","37054","39396","37764","40906","40179","60750","48528","39675","38859","33671","35228","38283","31864","39946","39918","39080","42643","53503","44724","38414","37080","33307","35581","37150","31024","37889","34357","41410","39483","56381","47673","39127","36827","33870","36515","37484","34672","38200","34204","41135","42915","47728","49622","37092","33344","34972","35731","36905","31020","35946","35255","39372","39518","51347","46540","33748","33834","33858","32178","39909","33180","35713","34752","39110","41079","57484","48006","33825","35872","34300","33519","40083","33826","29140","31934","35062","44300","49281","48381","36088","34524","32597","35180","38813","29371","37723","35568","38305","48430","55811","46326","37599","35753","29815","36597","37660","34136","36760","34445","42534","49624","60778","54152","36535","37495","39940","37801","40372","37935","35444","35866","44072","39144","47984","52216","36371","34265","33918","36403","40193","36644","32171","33619","38195","37935","55283","46005","32079","35383","32439",
"서울특별시","시도간전출[명]","명","46230","62694","72095","58694","62669","55374","45153","50710","47580","64689","63421","54608","41452","63349","72932","66308","67036","64552","53705","63044","59414","65212","64085","70568","55082","65208","75718","72478","70298","52507","52230","59919","59662","70565","62945","55213","46787","62112","65226","60733","60621","57506","52973","55552","52499","62896","56204","68889","43932","62834","67230","52243","49914","48154","44397","51118","42989","50188","53379","61713","44719","54306","63086","56156","54285","51473","44965","57962","51910","52594","53763","58824","47114","64499","69288","53982","56414","54309","45298","54764","50876","57363","63426","72017","63296","65350","62906","57186","56679","48414","47588","54903","44886","64948","56416","59752","52950","62834","63061","59085","57866","54745","54339","53271","49925","52777","44704","51582","41227","58777","62800","50851","49060","50160","49981","53786","53319","55556","53292","59788","48164","62518","71590","56970","53495","49366","47358","52667","44427","51818","53996","55961","47221","59671","63818","50491","50952","47174","44453","55780","47005","49237","50648","53234","43560","63603","57560","48370","47238","41505","43981","47509","40054","51295","51048","53905","47172","58226","52437","48419","45291","42057","44469","44080","37543","46662","45714","55562","43755","59213","53816","47583","44414","42265","44034","43147","40798","47322","43372","53683","45970","51864","58996","48209","45020","49350","47454","49816","43906","50943","48865","56765","46372","59558","55360","44406","45792","45922","45023","54580","44090","48971","49334","54536","43597","59032","52705","40200","42462","40345","41762","49074","47157","39881","46621","49780","51455","56515","56359","46155","45822","41119","44581","47781","37332","48430","46903","47909","48524","52777","47976","42337","42081","35920","43674","45070","39602","41820","39153","46520","45678","57473","57556","43652","40204","43872","43720","48416","47979","45756","45352","55206","49584","57399","58432","46109","42574","42206","44832","48310","44763","41560","44173","47424","40343","52018","46280","36245","38465","34249",
