Date,Region,Median_price_per_m2,Transaction_count,Base_rate
2015-01-01,강원도,168.21946169772255,1687,2.0
2015-02-01,강원도,165.2559451833938,1609,2.0
2015-03-01,강원도,168.98008449004223,2285,1.75
2015-04-01,강원도,165.54758817278676,2006,1.75
2015-05-01,강원도,170.68864037669218,1649,1.75
2015-06-01,강원도,169.78475155904243,1735,1.5
2015-07-01,강원도,170.96596155135683,1798,1.5
2015-08-01,강원도,174.24782782754212,1668,1.5
2015-09-01,강원도,173.55412343555588,1718,1.5
2015-10-01,강원도,177.9000309249825,2042,1.5
2015-11-01,강원도,179.9661718656185,1650,1.5
2015-12-01,강원도,182.72425249169436,1553,1.5
2016-01-01,강원도,185.46847619786874,1531,1.5
2016-02-01,강원도,179.76588628762542,1429,1.5
2016-03-01,강원도,189.47797135673358,1970,1.5
2016-04-01,강원도,189.3748952572482,1763,1.5
2016-05-01,강원도,183.67762239143246,1688,1.5
2016-06-01,강원도,192.1142854522953,1772,1.25
2016-07-01,강원도,195.78396506292728,1717,1.25
2016-08-01,강원도,190.57171514543631,1679,1.25
2016-09-01,강원도,197.7633902295468,1547,1.25
2016-10-01,강원도,197.02788445483387,1801,1.25
2016-11-01,강원도,193.41061622940816,1607,1.25
2016-12-01,강원도,191.69861643607268,1183,1.25
2017-01-01,강원도,197.7894124490983,1099,1.25
2017-02-01,강원도,187.04074816299266,1201,1.25
2017-03-01,강원도,192.48395967002747,1609,1.25
2017-04-01,강원도,192.80538302277432,1467,1.25
2017-05-01,강원도,196.7650491912623,1399,1.25
2017-06-01,강원도,198.75852847024674,1610,1.25
2017-07-01,강원도,199.0140587913091,1365,1.25
2017-08-01,강원도,199.04257999496096,1263,1.25
2017-09-01,강원도,204.54545454545453,1295,1.25
2017-10-01,강원도,194.61824112910162,1102,1.25
2017-11-01,강원도,197.21403957557715,1256,1.5
2017-12-01,강원도,197.84131028755388,960,1.5
2018-01-01,강원도,195.03546099290782,2170,1.5
2018-02-01,강원도,198.41281771014943,1892,1.5
2018-03-01,강원도,194.01940194019403,2794,1.5
