Date,Region_ko,Birth,Birth_rate,Death,Death_rate,Marriage,Marriage_rate,Natural_growth,Natural_growth_rate,Net_migration
2000-01-01,강원특별자치도,1966.0,14.91,1067.0,8.1,817.0,6.2,899.0,6.8,-1615.0
2000-02-01,강원특별자치도,1780.0,14.44,898.0,7.3,710.0,5.8,882.0,7.2,-2004.0
2000-03-01,강원특별자치도,1803.0,13.69,1022.0,7.8,882.0,6.7,781.0,5.9,-698.0
2000-04-01,강원특별자치도,1612.0,12.65,901.0,7.1,870.0,6.8,711.0,5.6,-1620.0
2000-05-01,강원특별자치도,1615.0,12.27,886.0,6.7,1118.0,8.5,729.0,5.5,-1309.0
2000-06-01,강원특별자치도,1495.0,11.74,866.0,6.8,884.0,6.9,629.0,4.9,-896.0
2000-07-01,강원특별자치도,1503.0,11.42,853.0,6.5,593.0,4.5,650.0,4.9,-611.0
2000-08-01,강원특별자치도,1513.0,11.49,858.0,6.5,525.0,4.0,655.0,5.0,-433.0
2000-09-01,강원특별자치도,1584.0,12.43,863.0,6.8,527.0,4.1,721.0,5.7,-308.0
2000-10-01,강원특별자치도,1542.0,11.72,928.0,7.1,917.0,7.0,614.0,4.7,-422.0
2000-11-01,강원특별자치도,1563.0,12.27,914.0,7.2,1051.0,8.2,649.0,5.1,-503.0
2000-12-01,강원특별자치도,1506.0,11.44,928.0,7.0,1004.0,7.6,578.0,4.4,-715.0
2001-01-01,강원특별자치도,1781.0,13.49,853.0,6.5,721.0,5.5,928.0,7.0,-1265.0
2001-02-01,강원특별자치도,1473.0,12.35,838.0,7.0,642.0,5.4,635.0,5.3,-1661.0
2001-03-01,강원특별자치도,1646.0,12.47,1006.0,7.6,812.0,6.2,640.0,4.9,-1096.0
2001-04-01,강원특별자치도,1469.0,11.51,941.0,7.4,912.0,7.1,528.0,4.1,-851.0
2001-05-01,강원특별자치도,1432.0,10.86,932.0,7.1,982.0,7.4,500.0,3.8,-738.0
2001-06-01,강원특별자치도,1253.0,9.82,869.0,6.8,733.0,5.7,384.0,3.0,-546.0
