batter_id,batter_name,date,opposing_team,avg1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,avg2,year
0,가르시아,3.24,NC,0.333,3,1,1,0,0,0,0,0,0,1,0,1,0,0.333,2018
0,가르시아,3.25,NC,0.000,4,0,0,0,0,0,0,0,0,0,0,1,0,0.14300000000000002,2018
0,가르시아,3.27,넥센,0.200,5,0,1,0,0,0,0,0,0,0,0,0,0,0.16699999999999998,2018
0,가르시아,3.28,넥센,0.200,5,1,1,0,0,0,1,0,0,0,0,0,0,0.17600000000000002,2018
0,가르시아,3.29,넥센,0.250,4,0,1,0,0,0,3,0,0,0,0,0,1,0.19,2018
0,가르시아,3.3,KIA,0.600,5,2,3,1,0,0,1,0,0,0,0,1,0,0.269,2018
0,가르시아,3.31,KIA,1.000,3,1,3,1,0,0,2,0,0,0,0,0,0,0.345,2018
0,가르시아,4.01,KIA,0.750,4,1,3,0,0,0,2,0,0,1,0,1,0,0.394,2018
0,가르시아,4.03,두산,0.400,5,1,2,0,0,1,1,0,0,1,0,1,0,0.395,2018
0,가르시아,4.04,두산,0.500,4,0,2,0,0,0,0,1,0,0,0,0,0,0.405,2018
0,가르시아,4.06,롯데,0.750,4,2,3,0,0,2,4,0,0,1,1,0,0,0.435,2018
0,가르시아,4.07,롯데,0.333,3,0,1,0,0,0,0,0,0,0,1,2,0,0.429,2018
0,가르시아,4.08,롯데,0.000,3,0,0,0,0,0,0,0,0,1,0,1,0,0.404,2018
0,가르시아,4.1,SK,0.250,4,0,1,0,0,0,0,1,0,0,0,2,0,0.393,2018
0,가르시아,4.11,SK,0.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0.373,2018
0,가르시아,4.12,SK,0.333,3,1,1,0,0,0,0,0,0,0,1,0,0,0.371,2018
0,가르시아,4.13,KT,0.000,2,0,0,0,0,0,0,0,0,0,1,2,0,0.359,2018
0,가르시아,4.14,KT,0.000,4,0,0,0,0,0,0,0,0,0,0,3,0,0.338,2018
0,가르시아,4.15,KT,0.750,4,0,3,1,0,0,1,0,0,0,0,0,0,0.361,2018
0,가르시아,4.17,KIA,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.35600000000000004,2018
0,가르시아,7.11,SK,1.000,1,0,1,0,0,0,0,0,0,0,0,0,0,0.365,2018
0,가르시아,7.12,SK,0.333,3,1,1,0,0,1,1,0,0,0,0,1,0,0.364,2018
0,가르시아,7.17,넥센,0.400,5,1,2,0,0,0,1,0,0,0,0,0,1,0.366,2018
0,가르시아,7.18,넥센,0.333,3,1,1,1,0,0,0,0,0,1,0,0,0,0.365,2018
0,가르시아,7.2,두산,0.500,6,0,3,1,0,0,0,0,0,0,0,1,0,0.374,2018
0,가르시아,7.21,두산,0.600,5,3,3,0,0,0,0,1,0,0,1,0,0,0.385,2018
0,가르시아,7.22,두산,0.000,4,0,0,0,0,0,1,0,0,0,0,0,0,0.37,2018
0,가르시아,7.24,삼성,0.250,4,0,1,0,0,0,0,0,0,0,0,0,1,0.365,2018
0,가르시아,7.25,삼성,0.000,4,0,0,0,0,0,0,0,0,0,0,0,0,0.35200000000000004,2018
0,가르시아,7.26,삼성,0.750,4,1,3,0,0,1,3,0,0,0,0,0,0,0.366,2018
0,가르시아,7.27,KT,0.600,5,1,3,1,0,0,2,0,0,0,0,1,0,0.376,2018
0,가르시아,7.28,KT,0.600,5,3,3,1,0,1,2,0,0,1,0,0,0,0.385,2018
0,가르시아,7.29,KT,0.400,5,2,2,1,0,1,2,1,0,0,0,0,0,0.386,2018
0,가르시아,7.31,두산,0.400,5,1,2,0,0,0,0,0,0,0,0,1,0,0.386,2018
0,가르시아,8.01,두산,0.000,2,0,0,0,0,0,1,1,0,0,0,0,0,0.381,2018
0,가르시아,9.18,롯데,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.378,2018
0,가르시아,9.19,롯데,0.000,1,0,0,0,0,0,0,0,0,0,0,1,0,0.375,2018
0,가르시아,9.2,두산,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3720000000000001,2018
0,가르시아,9.21,두산,0.250,4,0,1,0,0,0,0,0,0,0,0,0,0,0.369,2018
0,가르시아,9.22,KT,0.750,4,0,3,1,0,0,0,0,0,0,0,0,0,0.379,2018
0,가르시아,9.23,KT,0.000,5,0,0,0,0,0,0,0,0,0,0,0,0,0.3670000000000001,2018
0,가르시아,9.25,SK,0.250,4,1,1,0,0,0,0,0,0,1,0,2,0,0.364,2018
0,가르시아,9.26,SK,0.000,4,0,0,0,0,0,0,0,0,0,0,1,0,0.354,2018
0,가르시아,9.27,KIA,0.000,3,0,0,0,0,0,1,0,0,0,0,1,0,0.348,2018
0,가르시아,9.28,KIA,0.250,4,0,1,0,0,0,0,0,0,0,0,1,0,0.345,2018
0,가르시아,9.29,두산,0.250,4,0,1,0,0,0,1,0,0,1,0,0,0,0.343,2018
0,가르시아,9.3,두산,0.333,3,1,1,0,0,1,1,0,0,0,1,0,0,0.343,2018
