Date,Region,signal_type,signal_name,Price_prev,Median_price_per_m2,Price_yoy_pct,Transaction_prev,Transaction_count,Transaction_yoy_pct,Base_rate_prev,Base_rate,Base_rate_change,Price_z,Transaction_z,Signal_score,reason,rank_in_type,severity
2022-12-01,경기도,rate_price_reverse,금리 ↑ + 주택가격 ↑,337.0627054899827,544.4431293644219,61.525769685190646,1855.0,6418,245.98382749326143,0.5,3.25,2.75,2.808405374393709,3.1090559026508737,5.558,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,1,HIGH
2022-11-01,경기도,rate_price_reverse,금리 ↑ + 주택가격 ↑,361.2514783356628,542.8226779252111,50.26171807685682,3191.0,6174,93.48166718896897,0.5,3.25,2.75,2.5129409653514965,2.9771638528274287,5.263,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,2,HIGH
2023-01-01,부산광역시,rate_price_reverse,금리 ↑ + 주택가격 ↑,331.7219536589432,479.5149348665078,44.55327106855175,3087.0,2732,-11.499838030450276,0.5,3.5,3.0,2.06642315370567,-0.18355469198701604,5.066,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,3,HIGH
2023-01-01,울산광역시,rate_price_reverse,금리 ↑ + 주택가격 ↑,264.1664296978001,380.3460659484166,43.97971248031901,981.0,1170,19.26605504587156,0.5,3.5,3.0,2.018594387170552,0.3549153831828961,5.019,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,4,HIGH
2022-10-01,경기도,rate_price_reverse,금리 ↑ + 주택가격 ↑,371.35278514588856,500.1103188682728,34.672564438099194,4064.0,5608,37.99212598425197,0.5,3.0,2.5,2.3595043634023667,2.6256118711776435,4.86,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,5,HIGH
2023-02-01,경기도,rate_price_reverse,금리 ↑ + 주택가격 ↑,341.7805935311771,587.8499806849292,71.9963016657661,425.0,17518,4021.8823529411766,0.5,3.5,3.0,1.844449945692119,0.07678259434930479,4.844,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,6,HIGH
2023-03-01,부산광역시,rate_price_reverse,금리 ↑ + 주택가격 ↑,350.2597620244679,469.51555201219634,34.047813342429464,3858.0,4882,26.54224987039917,1.25,3.5,2.25,2.356770392253692,0.12764075693353572,4.607,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,7,HIGH
2022-10-01,인천광역시,rate_price_reverse,금리 ↑ + 주택가격 ↑,350.05380456625744,458.6180794466609,31.013596614075546,2379.0,1704,-28.373266078184113,0.5,3.0,2.5,2.1068793668237706,0.3698775311432983,4.607,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,8,HIGH
2019-04-01,서울특별시,price_volume_cross,가격 ↑ + 거래량 ↓,647.9888781545278,828.511521404555,27.858910752319638,4485.0,3015,-32.77591973244147,1.5,1.75,0.25,3.186512376518743,-1.4040304177592329,4.591,주택가격은 상승했지만 거래량은 감소하는 엇갈린 흐름이 나타남,1,HIGH
2023-03-01,울산광역시,rate_price_reverse,금리 ↑ + 주택가격 ↑,291.86771801812404,386.6025929232144,32.45815451889326,1766.0,2000,13.250283125707815,1.25,3.5,2.25,2.216324226990025,-0.12347822764302506,4.466,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,9,HIGH
