Date,Region_ko,signal_type,signal_name,Natural_growth_prev,Natural_growth,Natural_growth_change,Net_migration_prev,Net_migration,Net_migration_change,Natural_growth_z,Net_migration_z,Natural_growth_change_z,Net_migration_change_z,Signal_score,reason,rank_in_type,severity
2003-12-01,전북특별자치도,migration_reverse,순이동 방향 반전,116.0,235.0,119.0,-3384.0,22484.0,25868.0,-0.4226253199193856,2.612777743663749,-0.39105648336291515,3.399550308916848,6.012,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,1,HIGH
2001-12-01,전북특별자치도,migration_reverse,순이동 방향 반전,713.0,491.0,-222.0,-610.0,18457.0,19067.0,-0.3929342381195383,2.355673675895481,0.38439745045005674,3.3969420598617273,5.753,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,2,HIGH
2021-02-01,서울특별시,migration_reverse,순이동 방향 반전,167.0,50.0,-117.0,3305.0,-9415.0,-12720.0,0.46107608538010864,-1.6608917062564617,-1.6231047394200682,-3.493425512845194,5.154,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,3,HIGH
2021-01-01,서울특별시,migration_reverse,순이동 방향 반전,497.0,296.0,-201.0,3946.0,-10440.0,-14386.0,0.7606799453386753,-1.7959202406502384,-0.8921498808615668,-3.122264547451867,4.918,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,4,HIGH
2014-09-01,경상북도,migration_reverse,순이동 방향 반전,346.0,232.0,-114.0,-132.0,5772.0,5904.0,-0.40616503262939374,2.037036094490218,-0.9101441560046156,2.654657821519635,4.692,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,5,HIGH
2010-02-01,서울특별시,migration_reverse,순이동 방향 반전,4106.0,4153.0,47.0,7663.0,-5321.0,-12984.0,0.5038343730407465,-1.3364178735788588,0.6592075902367772,-3.308381393809192,4.645,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,6,HIGH
2019-02-01,서울특별시,migration_reverse,순이동 방향 반전,982.0,1187.0,205.0,-7234.0,3034.0,10268.0,0.9775226775581695,0.9259530293499376,1.7530446533389856,3.6713425391574104,4.597,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,7,HIGH
2020-01-01,서울특별시,migration_reverse,순이동 방향 반전,1273.0,497.0,-776.0,-94.0,3946.0,4040.0,1.0103745545569254,1.4207554267495004,-0.23456278462686977,3.1738431645216507,4.595,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,8,HIGH
2007-01-01,경상북도,migration_reverse,순이동 방향 반전,241.0,272.0,31.0,836.0,-3483.0,-4319.0,-0.42720333073670796,-1.0798647090387385,-0.40189811615437004,-3.3315455792388584,4.411,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,9,HIGH
2014-10-01,부산광역시,migration_reverse,순이동 방향 반전,548.0,501.0,-47.0,-1835.0,4568.0,6403.0,-0.3096446777702747,1.5341549276027397,-0.623416116403311,2.773184705646378,4.307,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,10,HIGH
