Date,Region,Median_price_per_m2,Transaction_count,Base_rate,Price_prev_year,Transaction_prev_year,Base_rate_prev_year,Price_yoy_pct,Transaction_yoy_pct,Base_rate_change,Price_yoy_mean,Price_yoy_std,Price_z,Transaction_yoy_mean,Transaction_yoy_std,Transaction_z,Signal_score
2023-01-01,경상남도,310.3724469363236,2050,3.5,235.77917617144809,3798.0,0.5,31.63692060346952,-46.024223275408104,3.0,1.9722025850668226,9.757148346845739,3.0403061390362707,26.258893816962765,159.67417569937498,-0.45269134332943867,3.4929974823657095
2023-01-01,부산광역시,479.5149348665078,2732,3.5,331.7219536589432,3087.0,0.5,44.55327106855176,-11.49983803045027,3.0,6.162389499061688,12.780943372786309,3.0037596169335554,47.9016937753492,360.8211234840712,-0.16462875352812265,3.168388370461678
2023-01-01,광주광역시,333.50008337502084,1298,3.5,264.7412755716005,1885.0,0.5,25.97207694756467,-31.140583554376654,3.0,5.665174628999759,7.285705044182147,2.787225422305639,34.83501435128789,291.2465477270297,-0.22652834315310086,3.01375376545874
2022-06-01,인천광역시,465.0469775017239,2172,1.75,338.4469010729208,3962.0,0.75,37.40618573473839,-45.17920242301868,1.0,8.077004833316332,10.531932761300673,2.784786189405938,66.23816689982046,547.8334117225273,-0.20337819296657106,2.988164382372509
2022-06-01,강원도,232.16972692766032,2928,1.75,183.8235294117647,3186.0,0.75,26.300331448647228,-8.097928436911484,1.0,5.335561967364298,8.066334240087684,2.599045471869144,25.500958256864177,141.75254156436662,-0.23702493318978105,2.836070405058925
2022-07-01,인천광역시,470.56098108344855,1514,2.25,347.6933070797164,4936.0,0.5,35.33794625950679,-69.32739059967585,1.75,8.077004833316332,10.531932761300673,2.5884082289587074,66.23816689982046,547.8334117225273,-0.24745762963460696,2.8358658585933143
2023-07-01,제주특별자치도,435.1313414878685,11,3.5,348.6842105263158,131.0,2.25,24.79238472859626,-91.6030534351145,1.25,6.583934631211529,11.350282632951664,1.6042287832130913,12.619211203494688,90.06905507276545,-1.1571373159672829,2.761366099180374
2021-09-01,서울특별시,1346.1158972727794,2744,0.75,912.6236457842676,5491.0,0.5,47.49956386632827,-50.0273174285194,0.25,12.643506868851906,15.690903217141258,2.22141813731911,21.1580960903304,133.1990883686655,-0.5344286840899719,2.755846821409082
2021-04-01,제주특별자치도,417.5477111649488,24,0.5,336.4357026852681,308.0,0.75,24.109215470380718,-92.20779220779221,-0.25,6.583934631211529,11.350282632951664,1.5440391579581048,12.619211203494688,90.06905507276545,-1.1638514840263254,2.70789064198443
2022-05-01,인천광역시,468.1647940074906,2874,1.75,348.3799512210182,5340.0,0.75,34.38339157194466,-46.17977528089887,1.0,8.077004833316332,10.531932761300673,2.497773897236649,66.23816689982046,547.8334117225273,-0.20520461106460955,2.7029785083012587
