Date,Region_ko,Natural_growth,Net_migration,Natural_growth_change,Net_migration_change,Natural_growth_z,Net_migration_z,Signal_score
2022-03-01,경상북도,-2195.0,-515.0,-1346.0,-1954.0,-5.64757735452118,-1.438979107994926,7.086556462516105
2022-03-01,부산광역시,-2369.0,-1988.0,-1786.0,-33.0,-6.834989860383796,-0.11480148502936673,6.949791345413163
2022-03-01,경상남도,-2017.0,-2052.0,-1511.0,-496.0,-5.491898230042348,-0.40605597674687693,5.897954206789224
2022-03-01,전라남도,-1739.0,-499.0,-965.0,11.0,-5.782408762098183,-0.06671421191155671,5.84912297400974
2022-04-01,경상북도,-1862.0,-81.0,-1120.0,-1214.0,-4.615997241910296,-0.9163580093004972,5.532355251210793
2022-04-01,경상남도,-1674.0,-898.0,-1186.0,-550.0,-4.199804719782521,-0.45423984725005806,4.654044567032579
2020-03-01,경상북도,-797.0,-4717.0,-270.0,-4632.0,-0.7361605351879477,-3.330302489486386,4.066463024674334
2022-03-01,광주광역시,-502.0,-1257.0,-493.0,-111.0,-3.9468948156968433,-0.08954824747331298,4.036443063170156
2020-03-01,제주특별자치도,-18.0,-362.0,-75.0,-889.0,-0.8933422041180472,-2.9242116360920076,3.8175538402100546
2018-01-01,경상북도,-886.0,-2055.0,-817.0,-611.0,-3.2329495688080945,-0.49049243833733414,3.7234420071454286
