date,market,code,name,close,volume,value,shares,change,volume_avg20,volume_ratio,return5,return20,share_pct,share_avg20,share_ratio,shares_changed,recent_share_change,inactive,recent_inactive,eligible,volume_signal,price_signal,concentration_signal,signal_count,score
2026-09-04,KOSDAQ,033790,피노,10200,5920208,58692924265,83321887,15.52,1682393.1,3.5189207563915947,51.11111111111111,86.81318681318682,0.8766026963638034,0.23014796534033083,3.8088657228297844,False,False,False,False,True,True,True,True,3,5.111111111111111
2026-09-04,KOSDAQ,228340,동양파일,4110,6277614,26086620208,20000000,4.05,1840506.65,3.4108075621459997,44.21052631578948,70.53941908713692,0.389614283147718,0.11596334181760568,3.3598055820133874,False,False,False,False,True,True,True,True,3,4.421052631578948
2026-09-04,KOSDAQ,048770,TPC로보틱스,3965,1859780,7014058664,15697991,30.0,256895.65,7.239437491448376,37.43500866551126,26.67731629392971,0.10475781900992824,0.014815873583427142,7.0706474660467595,False,False,False,False,True,True,True,True,3,3.743500866551126
2026-09-04,KOSDAQ,014950,삼익제약,6760,8849150,60417796010,10067588,19.22,904848.05,9.77970831677208,35.7429718875502,22.9090909090909,0.9023643574410721,0.10403413212138549,8.673733697208208,False,False,False,False,True,True,True,True,3,3.5742971887550197
2026-09-04,KOSPI,004310,현대약품,7950,11189417,89520589315,32000000,3.52,3699844.35,3.0242939814481655,29.05844155844155,20.637329286798177,0.5050911640656796,0.12907326259338986,3.913212960741774,False,False,False,False,True,True,True,True,3,2.905844155844155
2026-09-04,KOSDAQ,162300,신스틸,2105,8448488,17867312741,41471382,0.0,2156126.5,3.9183637880244966,26.88366485834841,47.71929824561403,0.2668555830481236,0.06729957335273992,3.9651898185066177,False,False,False,False,True,True,True,True,3,2.688366485834841
2026-09-04,KOSDAQ,030530,원익홀딩스,22500,7144949,145138338300,77237981,29.91,1194076.2,5.983662516680259,17.9245283018868,14.097363083164293,2.167700115351236,0.4343949104333274,4.990160020956192,False,False,False,False,True,True,True,True,3,1.994554172226753
2026-09-04,KOSDAQ,036090,위지트,1361,6500377,9645595473,42550514,8.53,367264.15,17.699459639608165,-1.305293691080489,4.6923076923076845,0.1440608915904438,0.009634644541364496,14.952382620027757,False,False,False,False,True,True,False,True,2,5.899819879869388
2026-09-04,KOSDAQ,199430,케이엔알시스템,19850,660414,12575501715,11197043,16.08,219977.7,3.0021861306850646,37.08563535911602,38.52058618283323,0.1878202330101031,0.06463809991942107,2.9057202059504057,False,False,False,False,True,True,True,False,2,3.708563535911602
2026-09-04,KOSPI,090460,비에이치,21850,2926725,62601895115,33711538,10.75,1454909.65,2.011619759343819,27.777777777777768,51.21107266435987,0.3532110804710126,0.11681193043208149,3.0237586106530596,False,False,False,False,True,False,True,True,2,2.777777777777777
2026-09-04,KOSDAQ,452430,사피엔반도체,35000,113891,3840496800,8255421,13.45,24976.6,4.559908073957224,23.893805309734507,23.893805309734507,0.057359381772431745,0.012468854145126926,4.600212746481514,False,False,False,False,True,True,True,False,2,2.3893805309734506
2026-09-04,KOSDAQ,373170,엠아이큐브솔루션,2080,924358,1952180272,15113790,-9.76,275389.65,3.3565458977851925,21.353558926487757,26.06060606060605,0.029156606382345546,0.014403103742009985,2.0243280132256185,False,False,False,False,True,True,True,False,2,2.135355892648776
2026-09-04,KOSDAQ,131760,파인텍,1448,719690,1126964654,8686316,2.19,146457.65,4.913980252994637,-21.17583015786608,-20.088300220750554,0.01683167548344851,0.0044014546034023905,3.824116570562235,False,False,False,False,True,True,True,False,2,2.1175830157866082
2026-09-04,KOSPI,003530,한화투자증권,5100,7332184,37863494441,214547775,8.97,1888096.5,3.8833735457906946,2.0000000000000018,15.12415349887133,0.21363260261284484,0.03694908182713378,5.781810861020164,False,False,False,False,True,True,False,True,2,1.9272702870067213
2026-09-04,KOSDAQ,354320,알멕,32300,294500,9436369900,6391381,20.07,57944.45,5.082453971001537,8.571428571428562,19.408502772643253,0.14093602255832724,0.02909379969713845,4.844194434052873,False,False,False,False,True,True,False,True,2,1.694151323667179
2026-09-04,KOSDAQ,452450,피아이이,3845,286707,1086496493,36028500,9.86,75434.15,3.8007586749502713,16.8693009118541,23.237179487179493,0.016227267039096403,0.004397970886566724,3.6897167938654136,False,False,False,False,True,True,True,False,2,1.6869300911854102
2026-09-04,KOSPI,036460,한국가스공사,35100,528643,18622869800,92313000,-6.9,142374.9,3.7130350925619617,-5.39083557951483,1.0071942446043147,0.10507355969728281,0.02105968829044035,4.989321695942621,False,False,False,False,True,True,False,True,2,1.6631072319808737
2026-09-04,KOSDAQ,023790,동일스틸럭스,1447,2062496,3011664711,13069808,-0.28,615328.2,3.351863282066384,13.135261923377639,-9.61898813241724,0.04498043740820441,0.017496721844711755,2.5707922779717385,False,False,False,False,True,True,True,False,2,1.313526192337764
2026-09-04,KOSDAQ,234340,헥토파이낸셜,25250,2846977,72736561125,13970656,13.48,786609.0,3.6193038726991427,7.9059829059829,38.43201754385965,1.0863501249064165,0.32319749720730273,3.3612578509839715,False,False,False,False,True,True,False,True,2,1.2064346242330475
2026-09-04,KOSDAQ,160190,하이젠알앤엠,19180,643475,12402450615,30888000,14.37,184013.3,3.496893974511625,4.637206764866342,14.919113241461957,0.18523564444566545,0.05637043929787491,3.286042236904274,False,False,False,False,True,True,False,True,2,1.1656313248372083
2026-09-04,KOSPI,267250,HD현대,240500,272287,64246430250,78993085,12.65,121953.6,2.2327098175043623,10.321100917431192,9.817351598173518,0.3624898416145664,0.10854004922552292,3.33968746284047,False,False,False,False,True,False,True,True,2,1.1132291542801567
2026-09-04,KOSPI,000220,유유제약,3840,2807213,11557726959,15747462,0.92,47103.6,59.59657011353697,-0.5181347150259086,4.632152588555849,0.06521076110360721,0.00077464508176619,84.18146921545896,False,False,False,False,True,True,False,False,1,28.06048973848632
